# Set up logging to file
logging.basicConfig(
    filename='process.log',
    level=logging.DEBUG,
    format='%(asctime)s - %(message)s',
    filemode='w'
)
2025-01-02 16:39:24,901 - Next wakeup is due at 2025-01-02 17:39:24.887616+05:30 (in 3599.985998 seconds)
2025-01-02 16:39:25,127 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-01-02 16:39:25,127 - Added job "auto_check_for_duplicates" to job store "default"
2025-01-02 16:39:25,128 - Scheduler started
2025-01-02 16:39:25,132 - Looking for jobs to run
2025-01-02 16:39:25,138 - Next wakeup is due at 2025-01-02 17:39:25.127620+05:30 (in 3599.989002 seconds)
2025-01-02 16:39:25,138 - Next wakeup is due at 2025-01-02 17:39:25.127620+05:30 (in 3599.989002 seconds)
2025-01-02 16:40:54,961 - Next wakeup is due at 2025-01-02 17:40:54.949275+05:30 (in 3599.988001 seconds)
2025-01-02 16:40:55,088 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-01-02 16:40:55,088 - Added job "auto_check_for_duplicates" to job store "default"
2025-01-02 16:40:55,088 - Scheduler started
2025-01-02 16:40:55,089 - Looking for jobs to run
2025-01-02 16:40:55,089 - Looking for jobs to run
2025-01-02 16:40:55,096 - Next wakeup is due at 2025-01-02 17:40:55.087276+05:30 (in 3599.990998 seconds)
2025-01-02 16:40:55,096 - Next wakeup is due at 2025-01-02 17:40:55.087276+05:30 (in 3599.990998 seconds)
2025-01-02 16:40:55,902 - Page 'Process Logs' opened.
2025-01-02 16:40:55,902 - Page 'Process Logs' opened.
2025-01-02 16:40:55,908 - Page 'Process Logs' opened.
2025-01-02 16:40:55,908 - Page 'Process Logs' opened.
2025-01-02 16:40:55,920 - Page 'Process Logs' closed.
2025-01-02 16:40:55,920 - Page 'Process Logs' closed.
2025-01-02 16:40:55,926 - Page 'Process Logs' closed.
2025-01-02 16:40:55,926 - Page 'Process Logs' closed.
2025-01-02 16:40:58,297 - Page 'Process Logs' opened.
2025-01-02 16:40:58,297 - Page 'Process Logs' opened.
2025-01-02 16:40:58,309 - Page 'Process Logs' closed.
2025-01-02 16:40:58,309 - Page 'Process Logs' closed.
2025-01-02 16:41:01,425 - Page 'Process Logs' opened.
2025-01-02 16:41:01,425 - Page 'Process Logs' opened.
2025-01-02 16:41:01,436 - Page 'Process Logs' closed.
2025-01-02 16:41:01,436 - Page 'Process Logs' closed.
