ID,Old KHC Code,New KHC Code,Mobile,Bill No,Firm Name
1904,KHC1116,KHC2845,9314232044,KHCR-1396,VARDHMAN TENT HOUSE 
1614,KHC1132,KHC6933,8740893833,Khcr-1099,Ajay tent house
691,KHC2197,KHC3477,9827066080,KHC-1340,PAWAN TENT HOUSE 
2416,KHC2227,KHC6835,9119268805,KHCR-1881,MITR TENT HOUSE 
938,KHC2240,KHC8394,9872658000,KHC-1499,UDAYPAUL EVENT CREATION 
145,KHC2259,KHC8207,7014793131,KHC- 472,Dhundhlas Tent House 
1062,KHC2273,KHC0687,9936726127,KHC-1281,VICKY TENT HOUSE
360,KHC2286,KHC0049,9198273284,KHC-690,AKASH TENT HOUSE 
3418,KHC2318,KHC9402,9460000492,KT-806,MAHADEV TENT HOUSE 
996,KHC2538,KHC5721,9098900467,KHC-1344,SHARDA EVENTS
3543,KHC2543,KHC2267,9166821186,KT-845,GANESH TENT HOUSE 
804,KHC2577,KHC0754,7018027636,KHC891,R.K Electronic and Tent House
3019,KHC2577,KHC4989,9784451008,KT-307,SURAJ TENT HOUSE 
2861,KHC2670,KHC2272,9829117566,KT-236,KRISHNA TENT HOUSE 
1730,KHC2770,KHC9201,9460087548,Khcr-1316,Majisa tent house 
2165,KHC2778,KHC5898,9024813226,Khcr-1745,Balaji tent house
365,KHC2910,KHC1980,8318151936,KHC-695,PRADIP TENT HOUSE 
1918,KHC2983,KHC4440,9982280667,Khcr-1425,Shiv tent house
2757,KHC3016,KHC0484,7023108182,KT-139,ROYAL TENT HOUSE 
1361,KHC3022,KHC1112,9413818933,KhCR-185,Ambika tent house
2080,KHC3022,KHC1499,7737797498,KHCR-1494,RAJ TENT HOUSE 
1274,KHC3043,KHC1406,9649780325,KHCR-239,HANSRAM TENT HOUSE 
378,KHC3072,KHC7330,7987689513,KHC-708,LOKESH TENT HOUSE 
3810,KHC3074,KHC0648,9928530953,Khcr-366,Khvabal tent house
1530,KHC3097,KHC0347,9667933605,Khcr-1042,Bhagwati tet house
743,KHC3099,KHC4990,7581973939,KHC- 1512,NEW VIJAY TENT HOUSE
1354,KHC3101,KHC6155,7665496637,KHCR-281,GAJLAXMI TENT HOUSE 
3342,KHC3180,KHC5932,9137626089,KT-744,SHREE KARNI TENT HOUSE 
1422,KHC3202,KHC6925,9784925118,KHCR-430,MAA CHAMUNDA TENT HOUSE 
503,KHC3251,KHC2414,9599563342,KHC-1103,Kamal tent house 
2320,KHC3340,KHC0903,7665809340,Khcr-1836,Shree balaji tent house
3087,KHC3378,KHC7846,9772770415,Kt-350,Manisha tent house
2315,KHC3465,KHC1493,9613295786,Khcr-1834,Kisan tent house
2762,KHC3482,KHC7219,9660786000,Kt-97,Nasib tent house
2049,KHC3487,KHC5196,8000577953,KHCR-1479,BALAJI TENT HOUSE 
3684,KHC3558,KHC4480,9414549222,KHCR-314,JAY SANTOSHI TENT HOUSE
2242,KHC3631,KHC8757,9972036125,KHCR-1628,VINAYAK TENT HOUSE 
915,KHC3636,KHC4284,9431577468,KHC-1547,FRIENDS TENT HOUSE 
2154,KHC3672,KHC9237,9982623505,Khcr-1734,Mahalaxmi  mandap decoration
195,KHC3684,KHC2734,9790763618,KHC- 551,National career service centre for SC ST 
582,KHC3709,KHC5851,9329427603,KHC-804,Aman marriage garden
2026,KHC3713,KHC0112,9414450551,Khcr-1559,Rekha tent House 
250,KHC3913,KHC7594,94617951963,KHC- 604,Bharat Tent House
1849,KHC4058,KHC3206,9610014563,KHCR-1408,SHREE TENT HOUSE 
3931,KHC4067,KHC3725,8868051403,KHC-1846,CHAUDHARY TENT HOUSE 
3780,KHC4146,KHC6595,9602649960,Khcr-338,Kumawat tent hoUse
2506,KHC4170,KHC9985,9829146337,Khcr-1958,Parasar tent house
3465,KHC4191,KHC3296,9166096130,KT-819,JYOTI TENT HOUSE 
3754,KHC4213,KHC0170,9462253888,KT-903,VIJAY TENT HOUSE
1462,KHC4244,KHC7800,9672531151,KHCR-453,AKASH TENT HOUSE 
1743,KHC4250,KHC8133,7413953507,Khcr-1325,Guru kripa tent house 
1725,KHC4265,KHC0946,9815543753,KHC-1654,"SAI TENT DECORATORS, ABOHAR"
954,KHC4275,KHC4018,9416255286,KHC-628,Muskan Floor Decoration
2697,KHC4447,KHC0529,9837763000,Kt-53,Arora tent house
515,KHC4473,KHC2302,8602652017,KHC777,New sahu tent house
847,KHC4509,KHC0041,9416255140,KHC-1521,PRUTHI TENT HOUSE 
3816,KHC4590,KHC7888,9829465353,KT-912,PREM CARTERS
1838,KHC4657,KHC7136,9636934676,Khcr-1361,Raja tent house
2548,KHC4724,KHC0727,9672189626,Khcr-1974,Chaudhary tent house
899,KHC4737,KHC6955,9926587185,KHC-1450,ROHIT TENT HOUSE 
